Name,Description
Hellman & Friedman,"Hellman & Friedman LLC (H&F) is an American private equity firm, founded in 1984 by Warren Hellman and Tully Friedman, that makes investments primarily through leveraged buyouts as well as growth capital investments. H&F has focused its efforts on several core target industries including media, financial services, professional services and information services.  The firm tends to avoid asset intensive or other industrial businesses (e.g., manufacturing, chemicals, transportation). H&F is based in San Francisco, with offices in New York and London.
In June 2024, Hellman & Friedman ranked 13th in Private Equity International's PEI 300 ranking among the world's largest private equity firms.

"
Hg (equity firm),"Hg is a London, England-based private equity firm targeting technology buyouts primarily in Europe and the US. The company focuses on investments in technology and services sectors. Hg was founded in 2000.

"
Highland Capital Management,"Highland Capital Management is an alternative investment management firm that manages hedge funds, structured investment vehicles and mutual funds. The firm invests in global public equities, as well as fixed income markets with a focus on leveraged loans, high yield bonds, and structured products.
The firm is headquartered in Dallas, Texas. It also operates offices in New York City, São Paulo, Buenos Aires, Seoul and Singapore. Highland reported approximately $13.9 billion of assets under management in 2018.
In October 2019, Highland Capital Management filed for Chapter 11 bankruptcy protection.

"
Highland Capital Partners,"Highland Capital Partners is a global venture capital firm with offices in  Boston, Silicon Valley, and San Francisco. Highland has raised over $4 billion in committed capital and invested in more than 280 companies, with 47 IPOs and 134 acquisitions."
Huron Capital Partners,"Huron Capital Partners, LLC is a Detroit-based private equity firm specializing in the recapitalization of private companies in the lower middle-market. It was founded in 1999. and has invested in or acquired more than 130 companies. 
Huron Capital has raised more than $1.8 billion of capital through its six private equity funds. The company currently targets companies with revenue up to $200 million. In 2016, the company completed 16 add-on deals across eight different platform companies, within 11 different states. In August 2020, the company completed its 200th acquisition since 1999."
Hutton Collins,"Hutton Collins Partners is a London-based private equity firm founded in 2002 by Graham Hutton and Matthew Collins, who are both partners in the firm. The generalist investor aims at mid-size Western European, and especially Spanish, French and Italian businesses. Their investments span from €35 to €100 million in businesses valued between €100 and €500 million. They focus on business and financial services, leisure and healthcare."
I Squared Capital,"I Squared Capital is an American private equity firm focusing on global infrastructure investments. The company invests in energy, utilities, transport and telecom projects in Asia, Europe, and the Americas. As of November 2024, I Squared Capital controls more than $40 billion in assets under management.

"
IK Partners,"IK Partners (“IK”) is a European private equity firm focused on small and mid cap investments in the Benelux, DACH (Germany, Austria, Switzerland), France, the Nordics countries and United Kingdom. The firm is led by Christopher Masek who has been the CEO since 2012."
Iconiq Capital,"ICONIQ Capital, LLC (Iconiq) is an American investment management firm headquartered in San Francisco, California. It functions as a hybrid family office providing specialized financial advisory, private equity, venture capital, real estate, and philanthropic services to its clientele. Iconiq primarily serves ultra-high-net-worth clients working in technology, high finance, and entertainment. The firm operates in-house venture capital, growth equity, and charitable giving funds for its clients."
Indigo Partners,"Indigo Partners, LLC is an American private equity firm which has a controlling interest in the American Frontier Airlines and Chilean low-cost JetSmart, as well as holding stakes in Mexican budget airline Volaris and European (Hungarian) low-cost carrier Wizz Air. The company had a partnership with Enerjet when it launched the now defunct Canadian ultra-low-cost carrier Lynx Air.
Indigo Partners was founded by Bill Franke and has set up a number of ultra-low-cost airlines around the world.  It is headquartered in Phoenix, Arizona."
Insight Partners,"Insight Venture Management, LLC (commonly referred to as Insight Partners and previously Insight Venture Partners) is a global venture capital and private equity firm that invests in high-growth technology, software, and internet businesses. The company is headquartered in New York City, also has offices in London, Tel Aviv, and Palo Alto.

"
InterMedia Partners,"InterMedia Advisors, LLC (a..k.a. InterMedia Partners), is a private equity investment firm focused on leveraged buyout and growth capital investments in the media sector.
The firm, which was founded in 1992 by notable private equity investor Leo Hindery, is based on the 48th floor of the Chrysler Building in Midtown Manhattan, New York City.
Until 1996, the firm's most notable investments were through its InterMedia Outdoor Holdings media company subsidiary which included Thomas Nelson, Hemisphere Media Group, NBCUniversal, Universal Sports, Control Room, Aspire, BlackBook Media, @Home Network, Sportsman Channel, Soul Train Holdings, Vibe Lifestyle Network, Up, Cinelatino, Pececitas, Comedias TV, Azteca Latino, Sudamerica Television, Pasiones, Television Dominicana, Telemicro Internacional, Pantallazo, MegaMix TV, TVN Internacional, Ecuadorvision, CentroAmerica TV, WAPA América, and Puerto Rican station WAPA-TV. The firm sold the division to Kroenke Sports & Entertainment which renamed the company Outdoor Sportsman Group."
Intermediate Capital Group,"Intermediate Capital Group is a private equity investment firm focused on providing capital to help companies grow through private and public markets and provides a number of strategies and funds aimed at institutional investors. It is headquartered in London, England, with offices in a further 17 countries, and is a constituent of the FTSE 100 Index."
Invest Europe,"Invest Europe is a trade association representing Europe's private equity, venture capital and infrastructure sectors, as well as their investors. 

Formed in 1983 as the European Private Equity and Venture Capital Association (EVCA), it rebranded as Invest Europe on 1 October 2015.
Invest Europe contributes to policy affecting private capital investment in Europe, providing information on its members' role in the economy and publishing research on industry trends and developments. It also publishes a Professional Standards Handbook Archived 22 February 2019 at the Wayback Machine, a comprehensive set of standards and guidelines for the private equity industry.
The association hosts annual industry events in Europe, including the Investors' Forum, the Venture Capital Forum and the CFO Forum, as well as coordinating Invest Week in Brussels, which brings together investors, entrepreneurs and policymakers.
Invest Europe's data is used by a number of institutions, including the European Investment Fund and the Organisation for Economic Co-operation and Development.
Based in Brussels, Invest Europe's chief executive officer is Eric de Montgolfier and the current chair is Klaus Hommels, a German venture capitalist based in Zürich, Switzerland and founder of venture capital firm Lakestar.
In February 2019, Invest Europe launched an updated Q&A guide to help private equity firms and investors prepare for the UK's exit from the European Union."
Irving Place Capital,"Irving Place Capital, formerly known as Bear Stearns Merchant Banking (BSMB), is an American private equity firm focused on leveraged buyout and growth capital investments in middle-market companies in the industrial, packaging, consumer and retail industries. Based in New York City, it has total committed capital across its funds of $5.9 billion.
The firm's predecessor Bear Stearns Merchant Banking was founded in 1997 by John D. Howard, formerly a co-founder of Vestar Capital Partners.  The group completed its separation from Bear Stearns' owner JPMorgan Chase in 2008."
Izurium Capital,"Izurium Capital was a UK-based investment firm focused on private equity and special situations investment strategies. Izurium Capital was founded in December 2009 and stopped operating and was dissolved around 2017.
Prior to its demise it was headquartered in London, United Kingdom. Since its inception, the firm had raised over €300 million in committed capital. 
The firm sought to invest in a variety of businesses with operations in Europe, the Americas, and Asia. The firm preferred businesses with a sizeable international presence outside their home market and with enterprise values ranging from €50 million to €500 million. The firm specialized in control investments, co-investments, leveraged buyouts, growth equity investments and sponsored mergers and acquisitions. The firm also provided mezzanine capital as part of its special situations strategy."
J. H. Whitney & Company,"J. H. Whitney & Company is a venture-capital firm in the U.S., founded in 1946 by partners John Hay Whitney and Benno Schmidt.  Today, the firm focuses primarily on leveraged buyouts, turnarounds, acquisitions, and recapitalizations of more mature companies, particularly those it considers to be in the middle market.  The firm is based in New Canaan, Connecticut."
J. W. Childs Associates,"J. W. Childs Associates L.P. (JWC) is an American private equity firm focused on leveraged buyout and recapitalization transactions for middle-market growth companies. JWC places particular emphasis on consumer products, healthcare and specialty retail companies.
The company is headquartered in Waltham, Massachusetts, and was founded in 1995 by longtime buyout investor John W. Childs, who had previously been the number two partner at large-cap Boston-based private equity firm Thomas H. Lee Partners."
J.C. Flowers & Co.,"J.C. Flowers & Co. is an American private equity investment firm, focused on investments in the financial services sector. The firm, founded in 2001, is based in New York City and run by billionaire J. Christopher Flowers, a former Goldman Sachs partner. As of 2017, the firm had invested more than $15 billion in capital.
JC Flowers manages two private equity funds, J.C. Flowers I LP, closed in 2002 with $900 million of committed capital, and J.C. Flowers II LP, closed in 2006 with $7.0 billion of committed capital.  Both funds are focused exclusively on the financial services sector.  JC Flowers in Europe is led by its managing director, David Morgan."
JLL Partners,"JLL Partners  is an American private equity firm focused on leveraged buyout transactions and leveraged recapitalizations of middle-market companies. The firm is headquartered in New York City, and was founded in 1987. Since its founding JLL Partners has committed approximately $4.7 billion across seven funds. JLL invests in various industries including food and consumer products, automotive parts, health care, media and telecommunications, commodity and specialty chemicals, building products, transportation, and industrial manufacturing and distribution. The company tends to focus on companies requiring an operational turnaround."
Japonica Partners,"Japonica Partners & Co. is an American multinational private equity firm headquartered in New York, New York, United States. The company specializes in underperforming global asset classes and undervalued investment positions. The firm's public investments includes the largest tender-hold for Greek Government Bonds in the world valued at €4 billion (approximately $4.2 billion in U.S. dollars). The firm also holds shares in and has reorganized multiple companies such as Allegheny International ($690 million), Sunbeam-Oster ($1.5 billion), CNW Corporation ($1.6 billion), and Borden ($2.4 billion).
The company is known for its control and leadership by Paul B. Kazarian, who is the company's managing director and chief executive officer."
KKR & Co.,"KKR & Co. Inc., also known as Kohlberg Kravis Roberts & Co., is an American global private-equity and investment company. As of December 31, 2023, the firm had completed private-equity investments in portfolio companies with approximately $710 billion of total enterprise value.: 8  Its assets under management (AUM) and fee paying assets under management (FPAUM) were $553 billion and $446 billion, respectively.: 167 
KKR was founded in 1976 by Jerome Kohlberg Jr., and cousins Henry Kravis and George R. Roberts, all of whom had previously worked together at Bear Stearns, where they completed some of the earliest leveraged buyout transactions. Since its founding, KKR has completed a number of transactions, including the 1989 leveraged buyout of RJR Nabisco, which was the largest buyout in history to that point, as well as the 2007 buyout of TXU, which is currently the largest buyout completed to date.
In October 2009, KKR listed shares in the company through KKR & Co., an affiliate that holds 30% of the firm's ownership equity, with the remainder held by the firm's partners. In March 2010, KKR filed to list its shares on the New York Stock Exchange (NYSE), with trading commencing four months later, on July 15, 2010.

"
KPS Capital Partners,"KPS Capital Partners is an American investment company that manages KPS Special Situation Funds, a family of investment funds. KPS specifically invests out of two funds raised in October 2019: KPS Special Situations Fund V ($6.12 billion) and KPS Mid-Cap Fund ($1.02 billion).
In June 2024, KPS Capital Partners ranked 50th in Private Equity International's PEI 300 ranking among the world's largest private equity firms."
Kelso & Company,"Kelso & Company is an American private equity firm focusing on leveraged buyouts, recapitalizations and growth capital transactions.  Kelso invests in a variety of sectors, including communication, manufacturing and restaurants. Kelso is based in New York City.
Kelso also provides mezzanine capital through a joint venture with asset management firm BlackRock.  Their joint venture, BlackRock Kelso Capital Corp. (Nasdaq: BKCC), is organized as a type of publicly traded private equity company known as a Business Development Company."
Kennet Partners,"Kennet Partners is a private equity investment firm that provides growth capital to software, Internet and technology-enabled business services companies in Europe and the US.
Kennet Partners is headquartered in London, England, and has an office in San Francisco, California. The firm raised its fourth fund in 2014, bringing total capital under management to $700 million.

"
Kildare Partners,"Kildare Partners is a London-based private equity fund investing in distressed European real estate assets, founded by the Irish-American billionaire Ellis Short, the Chief Investment Officer."
Kinderhook Industries,"Kinderhook Industries, LLC is an American private equity firm based in New York City. Since 2003, the firm has raised over $5 billion under management and has made in excess of 300 investments.
Kinderhook partners with middle-market businesses.
In January 2020, Kinderhook Industries has closed its Kinderhook Capital Fund VI mid-market buyout fund at its $1 billion hard cap. Investors included the New York State Teachers' Retirement System, Albany. The previous fund, Kinderhook Capital Fund V, closed in 2016 at its hard cap of $750 million."
Kohlberg & Company,"Kohlberg, formerly known as Kohlberg & Company, L.L.C, is an American private equity firm that focuses on leveraged buyout transactions. Founded by investor Jerome Kohlberg, Jr., the firm invests in a variety of transactions including leveraged carveout, take-private transactions, and acquisitions of privately held companies."
Kraft Group,"The Kraft Group, LLC, is a group of privately held companies in the professional sports, manufacturing, and real estate development industries doing business in 90 countries. Founded in 1998 by American businessman Robert Kraft as a holding company for various interests he had acquired since 1968, it is based in Foxborough, Massachusetts."
L Catterton,"L Catterton is an American multinational private equity firm. Founded in Greenwich, Connecticut in 1989, the fund has made over 250 investments in brands across all segments of the consumer industry. The firm is led by co-CEOs J. Michael Chu and Scott Dahnke. Originally Catterton Partners, the fund merged with Bernard Arnault's family office and LVMH in 2016 to create L Catterton.
In June 2024, L Catterton ranked 39th in Private Equity International's PEI 300 ranking among the world's largest private equity firms."
LGT Capital Partners,
LGT Group,"LGT Group is the largest royal family-owned private banking and asset management group in the world. LGT, originally known as The Liechtenstein Global Trust, is owned by the princely House of Liechtenstein through the Prince of Liechtenstein Foundation and led by its royal family members H.S.H. Prince Maximilian von und zu Liechtenstein (CEO) and H.S.H. Prince Philipp von und zu Liechtenstein (chairman)."
LRG Capital Funds,"The LRG Capital Funds (formerly BayStar Capital Funds) are managed by LRG Capital Group, LLC.  Through its BayStar Capital III Investment Fund, a multi-strategy investment fund, the firm makes direct investments in small-to mid capitalization, public and late-stage private companies, primarily within the technology and life sciences sectors.
The firm is a business unit of LRG Capital Group is an investment, banking and advisory boutique that focuses on public and private companies in the technology, life sciences, hospitality, real estate and entertainment sectors.  The firm was founded by former CS First Boston investment banker Lawrence R. Goldfarb.
Headquartered in San Francisco, with offices in New York City and Miami."
Langholm Capital,"Langholm Capital is a London-based private equity firm. 
Langholm Capital was founded in 2002, and is based at 2nd Floor, 17 Waterloo Place, London.
Their investments have included Bart Spices, Dorset Cereals, Lumene, and Tyrrells. In July 2013, Langholm sold Tyrells to Investcorp for £100 million.
The partners are Bert Wiegman, who founded the company, and Alistair Bird."
Lee Equity Partners,Lee Equity Partners is an American private equity firm focused on growth capital investments in middle-market companies across a range of industries.
Leeds Equity Partners,"Leeds Equity Partners is a private equity firm focused on investments in the Knowledge Industries.  The firm is investing its seventh private equity fund, Leeds Equity Partners VII, L.P., the largest fund focused exclusively on investing in this sector.  The firm's investors include a broad range of leading institutions, public and private pension plans, endowments, foundations, financial institutions, family offices and high-net-worth individuals."
Leonard Green & Partners,"Leonard Green & Partners, L.P. (LGP) is an American private equity investment firm founded in 1989 and based in Los Angeles. The firm specializes in private equity investments. LGP has invested in over 95 companies since its inception, including Petco and The Container Store.
In June 2024, Leonard Green and Partners ranked 18th in Private Equity International's PEI 300 ranking among the world's largest private equity firms."
Lexington Partners,"Lexington Partners is one of the largest manager of secondary acquisition and co-Investment funds in the world, founded in 1994. Lexington manages approximately $55 billion of which an unprecedented $14 billion was committed to the firm's ninth fund (Lexington Capital Partners IX, closed in January 2020), the largest dedicated secondaries pool of capital ever raised at the time.
Lexington Partners is headquartered in New York with offices in Boston, Menlo Park, London, Hong Kong, Santiago, São Paulo and Luxembourg."
Lightbank,"Lightbank is a financial organization that specializes in making venture capital investments including seed investments, Series A round and late-stage investments in companies across the United States. The company was founded in 2010, and is headquartered in Chicago, Illinois, United States."
Lightyear Capital,"Lightyear Capital is a private equity firm focused on leveraged buyout and growth capital investments in financial services companies.
The firm, which is based in New York City, was founded in 2002 with the backing of UBS AG by Donald Marron. Marron is best known for building up PaineWebber over a 23-year career and completing its sale to UBS AG in late 2000 for $10.8 Billion. Marron was also a founder of Data Resources Inc.
The firm has raised approximately $3 billion since inception across its five funds. In May 2002, Lightyear closed on its first fund, The Lightyear Fund, with $750 million of investor commitments, approximately $500 million of which came from UBS AG. In 2006, the firm completed fundraising for its second private equity fund, with $850 million of commitments from over 40 investors. In March 2021, the firm filed documents stating that it had raised over $1.27 billion with 24 investors for its fifth fund, Lightyear Capital V.
Among the firm's most notable investments are Collegiate Funding Services (acquired by JPMorgan Chase), ARGUS Software, Higher One, NAU Country Insurance Company (the nation's third-largest crop insurer), Antares Holdings, New Flyer Industries, and Goldleaf Financial Solutions.
In 2013, Atlanta, divested its RidgeWorth Investments to Lightyear Capital LLC for up to $265 million.
In May 2019, Lightyear Capital acquired a controlling stake in Lighthouse Technologies Holdings Corporation.
In September 2021, Lightyear Capital acquired assets and partnered with Schellman & Company, LLC for the delivery of Information Technology and cybersecurity compliance services."
Lincolnshire Management,"Lincolnshire Management is a private equity firm focused on investments and acquisitions in middle-market companies across a range of industries. In 2010, Private Equity News ranked Lincolnshire as a top ten performing private equity firm. Additionally, In 2011, CNN Money /Fortune Magazine ranked Lincolnshire Management as the 5th ranked private equity firm.
The firm, which is based in New York City, was founded in 1986 by Frank Wright and Steven Kumble."
Lindsay Goldberg,"Lindsay Goldberg  (LGLLC) is an American private equity firm focused on leveraged buyout and growth capital investments in middle-market companies in such sectors as consumer products, commodity-based manufacturing, energy services, business services, healthcare, financial services, energy transmission and waste disposal. Lindsay Goldberg specializes in partnering with family-owned businesses, offering operational and strategic guidance."
Lion Capital LLP,"Lion Capital LLP is a British private equity firm specialising in investments in the consumer sector.  Previous and current consumer brands owned by Lion have included Weetabix, Jimmy Choo, Wagamama, Kettle Foods and AllSaints.
The firm is headquartered in London, England, and employs 30 investment executives across its London and Los Angeles offices.
The firm’s principals have invested approximately €6 billion in more than 30 businesses and more than 100 consumer brands."
Liquid Realty Partners,"Liquid Realty Partners was a private equity real estate firm that invested indirectly in commercial property by acquiring interests in existing real estate funds, partnerships, joint ventures, separate accounts, unit trusts and other private investment vehicles in the private equity secondary market.
During its period of operation from 2001 to 2012, Liquid accepted $1.5 billion in capital commitments and closed 47 investments.
The fund is notable for its £435 million purchase of Jersey property unit trusts in May 2006, the largest secondary real estate acquisition at that time. This record was superseded by the $3 billion transaction between The Blackstone Group and CalPERS in November 2015."
Littlejohn & Co.,"Littlejohn & Co. is a private equity firm focused on leveraged buyout transactions, leveraged recapitalizations of middle-market companies and distressed securities.  The firm focuses on companies requiring an operational turnaround particularly in a variety of industrial and service sectors.
The firm is based in Cos Cob, Connecticut and was founded in 1996 by Angus C. Littlejohn Jr."
Livingbridge,"Livingbridge is a mid-market private equity firm launched in 1995. Headquartered in London, the firm also has offices in, Melbourne, Australia  and Boston, US.
Livingbridge was known until November 2014 as Isis Equity Partners, but rebranded as it was ""no longer prepared to share [its name] with a terrorist organisation"".
Since 1995 it has invested in over 100 UK businesses.
Livingbridge invests across four sectors: technology, services, healthcare and consumer.
In January 2000, Livingbridge acquired a 40% stake of UK based clothing company FatFace for £5 million. In May 2005, Livingbridge sold its stake in FatFace to Advent International for £110 million.
In 2016 it raised £660m in its eighth fundraise, its largest to date. In April 2016 Livingbridge announced the sale of Frank Recruitment Group to TPG Capital.
In 2017 Livingbridge won UK House of the Year at the 2017 Real Deals Private Equity Awards 
In March 2022, Livingbridge invested an undisclosed amount in Nourish Care, the Bournemouth-based digital care planning software provider to the UK social care sector."
Lone Star Funds,"Lone Star Funds, legal name of main entity Lone Star Global Acquisitions, Ltd. is a global private equity firm that invests in corporate equity, real estate, credit, and other financial assets. The founder of Lone Star established its first fund in 1995 (under a different name) and Lone Star has to date organized 25 private equity funds with total capital commitments since inception of over $95 billion (as of 2024). Lone Star's investors include corporate and public pension funds, sovereign wealth funds, university endowments, foundations, fund of funds and high-net-worth individuals. Lone Star Funds has affiliate offices in North America, Europe and Japan.
Hudson Advisors LP, an approximately 900-person global asset management company owned and controlled by the founder of Lone Star, performs due diligence and analysis, asset management and related services for Lone Star Funds. In this capacity, Hudson Advisors LP has managed in excess of $260 billion of assets for Lone Star Funds since inception."
Lovell Minnick Partners,Lovell Minnick Partners is a private equity firm focused on investments in middle market financial and related business services companies in North America and Europe.
Lux Capital,"Lux Capital is a venture capital firm based in New York City. It was founded in 2000, and focuses on investments in emerging technologies."
MARK Capital Management,"MARK Capital Management (previously Meyer Bergman) is a British real estate investment management firm. As of 2021, it had more than €7 billion in assets under management. MARK Capital Management was formed in 2004 by its chairman, Ton Meijer, and its chief executive officer, Markus Meijer from the holdings of the former MAB Group. 
MARK's strategies run parallel to its closed-ended value-add funds, focusing on mixed-use real estate throughout Europe and the United States. The strategies aim to repurpose and reposition under-utilised assets in urban gateway locations throughout Europe."
Madison Dearborn Partners,"Madison Dearborn Partners (MDP) is an American private equity firm specializing in leveraged buyouts of privately held or publicly traded companies, or divisions of larger companies; recapitalizations of family-owned or closely held companies; balance sheet restructurings; acquisition financings; and growth capital investments in mature companies. MDP operates using an industry-focused investment approach and focuses on the following sectors: basic industries, business and government software and services, financial & transaction services, health care, and TMT services. Since the founders established MDP as an independent firm in 1992, the firm has raised seven funds with aggregate capital of approximately $23 billion, and has completed investments in more than 130 companies."
Madrona Venture Group,"Madrona Venture Group is an American venture capital firm, founded in 1995 and based in Seattle, Washington. Madrona specializes in seed, startup, Series A and early stage investments."
MatlinPatterson,"MatlinPatterson is a distressed securities fund that participates in distressed and credit opportunities on a global basis. The firm was established in 2002 as a spinout from Credit Suisse First Boston. It is headquartered in New York City and has offices in London and Hong Kong. MatlinPatterson was founded by David Matlin and Mark Patterson. MatlinPatterson, through MatlinPatterson Global Advisers, manages private equity vehicles with a distressed-for-control mandate as well as an open-ended strategy seeking non-control credit investment opportunities.
MatlinPatterson is managed by co-founder David Matlin, together with Managing Partner, Peter Schoels and Michael Lipsky.  Mr. Schoels has served as Managing Partner since 2009 and is also responsible for management of the illiquid investment portfolio. Mr. Lipsky, who joined the Firm in early 2011, is responsible for management of the liquid investment portfolio. Co-founder Mark Patterson serves as Chairman of MatlinPatterson Group."
MerchantBridge,"MerchantBridge & Co. Ltd. was a London-based boutique private equity firm that specialized in investments in the Middle East and especially Iraq, where it was one of the largest such firms.  It was in existence from 2001 to 2018."
Metalmark Capital,"Metalmark Capital, formerly Morgan Stanley Capital Partners is a private equity firm focused on leveraged buyout investments in middle-market companies across a range of industries.  Metalmark was acquired by Citigroup Alternative Investments in December 2007.
The firm, which is based in New York City, traces its roots back to 1985.  Metalmark was founded as an independent firm in 2004.  The firm has raised approximately $8.5 billion since inception across four funds at Morgan Stanley and one fund raised since the firm's spinout."
Mid Europa Partners,MidEuropa is an independent private equity player in Central and Eastern Europe focused on Central and Eastern Europe with approximately €5.3 billion of assets under management.
MidOcean Partners,"MidOcean Partners is a New York based alternative asset management firm that specializes in mid-sized private equity and alternative leveraged investments.
The firm, founded in February 2003, is based in Midtown Manhattan. MidOcean was originally formed by the managers of DB Capital Partners to acquire Deutsche Bank's late stage private equity investments in the United States and Europe in one of the largest private equity secondary transactions completed to date."
Moelis & Company,"Moelis & Company is a global investment bank that provides financial advisory services to corporations, governments, and financial sponsors. The firm advises on strategic decisions such as mergers and acquisitions, recapitalizations and restructurings and other corporate finance matters. Moelis has advised on more than $4 trillion in transactions since its inception. 
It was founded in 2007 and is headquartered in New York City, with 20 offices in North and South America, Europe, the Middle East, Asia and Australia. It has 1078 employees, including 765 investment bankers. Of the 137 managing directors, averaging more than 20 years of experience each, 56 are former sector and product heads."
Montagu Private Equity,Montagu is a mid-market private equity firm. The primary investment focus of Montagu is on management buyouts of performing businesses with enterprise values typically ranging from €200 million to €1 billion.
Morgan Schiff & Co.,"Morgan Schiff & Co. was an investment house founded by Phillip Ean Cohen which was a prominent Mergers and Acquisitions and Private Equity firm from its founding in the mid-1980s to the late 1990s. The firm was discontinued after the bankruptcy of Friedman's Inc., the largest jewelry bankruptcy of all time.
The firm was named after Jacob Schiff and J.P. Morgan although the firm had no affiliation with either individual."
Motion Equity Partners,"Motion Equity Partners is a private equity firm focused on leveraged buyout and growth capital investments in European middle-market companies across a range of industries.
The firm, has office in Paris.  It was founded in 1989 as Electra Partners Europe and affiliate of Electra Private Equity, a listed investment trust."
NRDC Equity Partners,"NRDC Equity Partners (NRDC) is an American private investment firm focused on retail, real estate, and consumer branded businesses."
Nautic Partners,"Nautic Partners is a private equity firm focused on leveraged buyout investments in middle market companies across a range of industries that includes healthcare, industrial products, and outsourced services."
New Mountain Capital,"New Mountain Capital (New Mountain) is an American alternative investment firm headquartered in New York City. The firm focuses on growth investing in mid-sized companies from economically acyclical industries.
Outside the U.S., the firm has offices in Europe and Asia.
In June 2024, New Mountain Capital ranked 37th in Private Equity International's PEI 300 ranking among the world's largest private equity firms."
New York Life Capital Partners,
Novator Partners,Novator Partners LLP is a British private equity investment firm based in London owned by Björgólfur Thor Björgólfsson.
Oak Hill Capital Partners,"Oak Hill Capital Partners is a private equity firm headquartered in New York City, with more than $19 billion of committed capital from entrepreneurs, endowments, foundations, corporations, pension funds and global financial institutions. Robert Bass is the lead investor.
Oak Hill Capital is one of several Oak Hill partnerships, each of which has an independent management team. These Oak Hill partnerships comprise over $18 billion of investment capital across multiple asset classes, including private equity, special situations, high yield and bank debt, venture capital, real estate and a public equity exchange fund.
On April 20, 2010 the company announced acquisition of Denver-based data center company ViaWest Inc. for an undisclosed amount.
In 2017 the company sold Wave Broadband for more than $2.3 billion."
Oak Investment Partners,"Oak Investment Partners is a private equity firm focusing on venture capital investments in companies developing communications systems, information technology, new Internet media, healthcare services, and retail."
Oaktree Capital Management,"Oaktree Capital Management, Inc.  is an American global asset management firm specializing in alternative investment strategies. As of September 30, 2024, the company managed $205 billion for its clientele.
The firm was co-founded in 1995 by a group that had formerly worked together at the TCW Group starting in the 1980s. On April 12, 2012, Oaktree Capital Group, LLC became listed on the NYSE under the ticker symbol OAK. On March 13, 2019, Canada's Brookfield Asset Management announced that it had agreed to buy 62% of Oaktree Capital Management for approximately $4.7 billion."
Olympus Partners,"Olympus Partners is a private equity firm founded in 1988 to make equity investments in middle market leveraged buyouts and growth capital financings.  Although the firm invests in a wide array of industries, over time it has developed deep knowledge and experience in the following sectors: 

Industrial manufacturing and services
Healthcare manufacturing and services
Financial services
Consumer and restaurants
The firm is headquartered in Stamford, Connecticut with 23 employees.  Among the firm's most notable current and prior investments are PAI Pharma, Accelevation, Soliant, Tank Holdings, Excel Fitness, IWG, MEI, Rise Baking, Foodware Group, IXS, and Liqui-Box.  Since its inception, Olympus has made primary investments in 95 companies and has completed 198 add-on acquisitions."
One Equity Partners,"One Equity Partners is a private equity firm with over $10 billion in assets under management which primarily deals with the industrial, healthcare and technology sectors in North America and Europe. One Equity Partners was the merchant banking arm of JPMorgan Chase, focused on leveraged buyout and growth capital investments in middle-market companies. Formed by Bank One in 2001, the group has offices in New York City, Chicago, São Paulo, Vienna, Hong Kong and Frankfurt."
OpCapita,"OpCapita is a British private equity firm specialising in the retail, consumer and leisure industries. The firm invests in underperforming businesses that require operational support to improve profitability and create long-term, sustainable value. OpCapita was established in 2006, by American financier Henry Jackson. 
Its senior team have been together since the founding of the firm and have many decades of experience in consumer businesses. The firm is based in London and invests on behalf of a diversified group of international institutional investors. OpCapita is a full member of Invest Europe and a signatory of the UN Principles for Responsible Investment."
OrbiMed,"OrbiMed (OrbiMed Advisors) is an American investment firm based in New York City, United States. It is focused on making public and private investments in the Healthcare and Biotechnology industries. OrbiMed is considered one of the world's largest dedicated healthcare investment firms."
Out West Restaurant Group,"Out West Restaurant Group Inc. is an American Private Equity Firm that operates and franchises the West Coast Branch of the national Australian-themed steakhouse chain Outback Steakhouse, based in San Diego, California. The company currently operates Outback locations in California, Nevada, Arizona, Colorado, and New Mexico."
Pamlico Capital,"Pamlico Capital, which was formerly called First Union Capital Partners and then Wachovia Capital Partners, is an independent private equity firm focused on growth capital and leveraged buyout investments in middle-market companies in the business services, technology services, telecommunications and healthcare industries.
The firm, which is based in Charlotte, North Carolina, was founded in 1988 as the private equity investment arm of First Union Corporation. The firm has invested approximately $3.8 billion in more than 200 companies since inception across two funds.
The firm is named for the Pamlico Sound, which is located in North Carolina."
Pantheon Ventures,"Pantheon is a private equity, infrastructure, real assets and debt investor that invests on behalf of over 660 investors, including public and private pension plans, insurance companies, endowments and foundations. Founded in 1982, Pantheon has developed an established reputation in primary, direct co-investment and secondary private assets across all stages and geographies. The firm's investments include customized separate account programs, regional & global primary fund programs, secondaries and co-investment programs.  Pantheon manages traditional limited partnership fund vehicles as well as vehicles tailored to the specific requirements of the U.S. private wealth and defined contribution pension markets, and also to investors in UK-listed investment companies, the latter through Pantheon International.
Pantheon has over 340 employees with more than US$55 billion in assets under management (as of June 30, 2020). The firm has operated as an affiliate of Affiliated Managers Group Inc. (""AMG"") since its acquisition in mid-2010.
Originally formed in 1981 as the private equity investment division of GT Management in London, Pantheon's management acquired the private equity division in 1988 through a management buyout. Pantheon was then acquired by Russell Investments, an investment management subsidiary of Northwestern Mutual, in 2004.
In 2010, Pantheon was acquired by Affiliated Managers Group (""AMG""), a NYSE-listed asset management company with shareholdings in a diverse group of over 30 mid-sized asset management firms. Pantheon's management acquired a share of the equity in the transaction and maintains independent management and operation of its business."
